Date (LT),NowCast Conc.,AQI,AQI Category,Raw Conc.,QC Name
2018-01-01 01:00:00,68.9,158,Unhealthy,69.2,Valid
2018-01-01 02:00:00,72.2,160,Unhealthy,75.5,Valid
2018-01-01 03:00:00,81.2,164,Unhealthy,90.2,Valid
2018-01-01 04:00:00,89.4,169,Unhealthy,97.6,Valid
2018-01-01 05:00:00,89.2,168,Unhealthy,89.1,Valid
2018-01-01 06:00:00,90.6,169,Unhealthy,92.0,Valid
2018-01-01 07:00:00,91.4,170,Unhealthy,92.5,Valid
2018-01-01 08:00:00,98.4,173,Unhealthy,108.8,Valid
2018-01-01 09:00:00,101.6,175,Unhealthy,106.0,Valid
2018-01-01 10:00:00,103.7,176,Unhealthy,106.6,Valid
2018-01-01 11:00:00,101.0,174,Unhealthy,98.0,Valid
2018-01-01 12:00:00,100.2,174,Unhealthy,98.7,Valid
2018-01-01 13:00:00,97.2,173,Unhealthy,90.7,Valid
2018-01-01 14:00:00,94.4,171,Unhealthy,83.7,Valid
2018-01-01 15:00:00,88.9,168,Unhealthy,77.7,Valid
2018-01-01 16:00:00,82.1,165,Unhealthy,71.8,Valid
2018-01-01 17:00:00,76.7,162,Unhealthy,69.0,Valid
2018-01-01 18:00:00,74.4,161,Unhealthy,70.6,Valid
2018-01-01 19:00:00,79.6,163,Unhealthy,88.5,Valid
2018-01-01 20:00:00,87.9,168,Unhealthy,103.0,Valid
2018-01-01 21:00:00,94.0,171,Unhealthy,105.2,Valid
2018-01-01 22:00:00,101.8,175,Unhealthy,112.5,Valid
2018-01-01 23:00:00,115.1,182,Unhealthy,127.7,Valid
2018-01-02 00:00:00,118.5,184,Unhealthy,122.4,Valid
2018-01-02 01:00:00,127.5,188,Unhealthy,135.9,Valid
2018-01-02 02:00:00,130.2,190,Unhealthy,133.0,Valid
2018-01-02 03:00:00,132.1,191,Unhealthy,134.1,Valid
2018-01-02 04:00:00,136.0,193,Unhealthy,139.9,Valid
2018-01-02 05:00:00,178.7,229,Very Unhealthy,221.3,Valid
