DATE,CIG,VIS,TMP,DEW,SLP,WD,WS,CLDCR,CLDHT
2018-01-01 00:00:00,1250.0,4000,15.7,14.5,1018.9,140,1.0,0.2,450.0
2018-01-01 03:00:00,1250.0,10000,17.7,13.3,1020.2,140,1.0,0.2,450.0
2018-01-01 06:00:00,1250.0,10000,19.6,14.0,1017.4,90,1.0,0.2,450.0
2018-01-01 09:00:00,1250.0,10000,19.2,14.3,1016.4,140,1.0,0.3,450.0
2018-01-01 12:00:00,1250.0,10000,18.7,15.3,1017.8,360,0.0,0.3,450.0
2018-01-01 15:00:00,1250.0,10000,18.2,16.1,1018.5,360,0.0,0.3,450.0
2018-01-01 18:00:00,1250.0,10000,17.7,15.9,1018.1,360,0.0,0.3,450.0
2018-01-01 21:00:00,1250.0,10000,18.0,15.3,1016.3,360,0.0,0.5,450.0
2018-01-02 00:00:00,,10000,17.8,16.1,1016.9,999,999.9,0.3,450.0
2018-01-02 03:00:00,2750.0,4000,18.6,15.5,1018.3,360,0.0,0.6,450.0
2018-01-02 06:00:00,2750.0,4000,18.2,17.1,1016.0,360,0.0,0.6,450.0
2018-01-02 09:00:00,1250.0,4000,18.2,17.1,1015.3,360,0.0,0.6,450.0
2018-01-02 12:00:00,1250.0,2000,18.0,17.3,1016.7,360,0.0,0.4,450.0
2018-01-02 15:00:00,1250.0,2000,17.7,17.1,1018.2,360,0.0,0.6,450.0
2018-01-02 18:00:00,1250.0,1000,17.7,16.9,1017.5,360,0.0,0.1,450.0
2018-01-02 21:00:00,1250.0,2000,17.7,16.9,1016.0,360,0.0,0.2,450.0
2018-01-03 00:00:00,1250.0,1000,18.2,17.3,1017.2,320,1.0,0.2,450.0
2018-01-03 03:00:00,1250.0,4000,19.7,17.6,1018.7,90,1.0,0.2,450.0
2018-01-03 06:00:00,1250.0,4000,21.7,17.8,1015.6,160,2.0,0.5,450.0
2018-01-03 09:00:00,,10000,21.6,18.7,1014.0,90,2.0,0.5,450.0
2018-01-03 12:00:00,1250.0,10000,20.0,19.0,1015.5,160,2.0,0.6,450.0
2018-01-03 15:00:00,1250.0,10000,20.2,18.9,1017.2,360,0.0,0.8,1250.0
2018-01-03 18:00:00,,10000,19.2,18.4,1015.4,999,999.9,0.3,450.0
2018-01-03 21:00:00,2750.0,4000,19.2,18.5,1014.3,360,0.0,0.6,450.0
2018-01-04 00:00:00,2750.0,4000,19.0,18.1,1014.9,360,0.0,0.6,450.0
2018-01-04 03:00:00,2750.0,4000,19.5,18.8,1016.4,360,0.0,0.6,450.0
2018-01-04 06:00:00,1250.0,10000,20.2,18.8,1013.7,360,0.0,0.5,450.0
2018-01-04 09:00:00,1250.0,10000,21.2,19.4,1012.5,140,1.0,0.3,450.0
2018-01-04 12:00:00,1250.0,10000,21.0,19.1,1013.3,140,1.0,0.2,450.0
2018-01-04 15:00:00,2750.0,4000,20.2,19.5,1014.5,360,0.0,0.6,450.0
2018-01-04 18:00:00,2750.0,4000,19.7,19.1,1014.0,360,0.0,0.6,450.0
2018-01-04 21:00:00,1250.0,10000,19.7,18.9,1012.6,140,2.0,0.2,450.0
2018-01-05 00:00:00,1250.0,10000,19.7,18.8,1013.4,140,1.0,0.5,450.0
2018-01-05 03:00:00,2750.0,4000,20.1,19.3,1015.2,140,1.0,0.6,450.0
2018-01-05 06:00:00,1250.0,10000,21.2,19.6,1012.6,140,2.0,0.5,450.0
2018-01-05 09:00:00,,10000,21.8,19.9,1011.4,140,2.0,0.6,450.0
2018-01-05 12:00:00,1250.0,10000,21.2,19.6,1012.3,140,3.0,0.3,450.0
2018-01-05 15:00:00,1250.0,10000,20.2,19.0,1013.3,140,2.0,0.2,450.0
2018-01-05 18:00:00,1250.0,10000,19.7,18.8,1012.5,140,2.0,0.8,1250.0
2018-01-05 21:00:00,1250.0,10000,19.2,18.3,1010.7,140,3.0,0.6,450.0
2018-01-06 00:00:00,1250.0,10000,19.1,17.9,1012.1,160,3.0,0.6,450.0
2018-01-06 03:00:00,1250.0,10000,20.1,18.3,1013.4,140,3.0,0.5,450.0
2018-01-06 06:00:00,1250.0,10000,21.0,18.9,1010.8,140,2.0,0.3,450.0
2018-01-06 09:00:00,1250.0,10000,21.6,19.0,1009.6,140,2.0,0.3,450.0
2018-01-06 12:00:00,1250.0,10000,20.6,19.0,1010.7,140,3.0,0.2,450.0
2018-01-06 15:00:00,1250.0,10000,20.0,18.7,1011.8,140,2.0,0.5,450.0
2018-01-06 18:00:00,1250.0,10000,19.7,18.2,1011.5,140,2.0,0.3,450.0
2018-01-06 21:00:00,,10000,19.3,18.0,1010.4,140,3.0,0.8,1250.0
2018-01-07 00:00:00,1250.0,4000,19.2,18.5,1011.2,140,2.0,0.3,450.0
2018-01-07 03:00:00,1250.0,4000,20.5,19.0,1012.5,140,3.0,0.5,450.0
2018-01-07 06:00:00,,10000,21.4,19.5,1009.7,140,3.0,0.3,450.0
2018-01-07 09:00:00,1250.0,10000,22.0,19.9,1008.2,90,2.0,0.3,450.0
2018-01-07 12:00:00,2750.0,10000,20.7,20.0,1009.3,90,2.0,0.6,450.0
2018-01-07 15:00:00,,4000,20.4,19.4,1010.3,140,3.0,0.6,450.0
2018-01-07 18:00:00,1250.0,10000,20.5,19.4,1010.0,90,3.0,0.5,450.0
2018-01-07 21:00:00,1250.0,10000,20.0,19.0,1009.3,140,2.0,0.3,450.0
2018-01-08 00:00:00,1250.0,4000,20.6,19.8,1010.7,140,2.0,0.5,450.0
2018-01-08 03:00:00,1250.0,4000,21.6,20.8,1013.4,50,1.0,0.5,450.0
2018-01-08 06:00:00,1250.0,10000,17.1,14.8,1013.0,50,3.0,0.5,450.0
2018-01-08 09:00:00,1250.0,10000,15.0,10.6,1015.7,20,3.0,0.5,450.0
2018-01-08 12:00:00,1250.0,10000,13.7,6.5,1019.7,20,4.0,0.3,450.0
2018-01-08 15:00:00,1250.0,10000,12.7,4.7,1023.1,360,3.0,0.3,450.0
2018-01-08 18:00:00,1250.0,10000,12.5,3.1,1024.3,360,4.0,0.3,450.0
2018-01-08 21:00:00,1250.0,10000,10.7,6.1,1024.0,340,3.0,0.5,450.0
2018-01-09 00:00:00,1250.0,10000,10.0,7.2,1026.3,360,3.0,0.5,450.0
2018-01-09 03:00:00,2750.0,10000,9.7,7.4,1028.2,270,2.0,0.6,450.0
2018-01-09 06:00:00,1250.0,10000,12.2,6.0,1024.4,360,1.0,0.2,450.0
2018-01-09 09:00:00,,10000,13.4,6.7,1022.5,270,2.0,0.2,450.0
2018-01-09 12:00:00,1250.0,10000,13.0,7.4,1024.0,270,1.0,0.2,450.0
2018-01-09 15:00:00,1250.0,10000,13.0,5.6,1025.7,360,2.0,0.3,450.0
2018-01-09 18:00:00,1250.0,10000,12.2,5.4,1026.3,320,1.0,0.3,450.0
2018-01-09 21:00:00,1250.0,10000,12.2,5.6,1026.1,320,1.0,0.5,450.0
2018-01-10 00:00:00,1250.0,10000,12.2,6.1,1028.2,360,0.0,0.2,450.0
2018-01-10 03:00:00,1250.0,10000,14.5,4.1,1029.5,340,2.0,0.6,450.0
2018-01-10 06:00:00,1250.0,10000,15.5,2.5,1026.0,340,2.0,0.2,450.0
2018-01-10 09:00:00,1250.0,10000,15.7,4.2,1024.5,20,2.0,0.2,450.0
