DATE,CIG,VIS,TMP,DEW,WD,WS,CLDCR,CLDHT
2018-01-01 00:00:00,1067.0,8000,16.0,12.0,80,1.5,0.7,1067.0
2018-01-01 00:30:00,975.0,8000,16.0,12.0,60,1.5,0.7,975.0
2018-01-01 01:00:00,975.0,7000,16.0,12.0,80,1.5,0.7,975.0
2018-01-01 01:30:00,975.0,7000,17.0,12.0,60,2.1,0.7,975.0
2018-01-01 02:00:00,1006.0,7000,17.0,12.0,80,3.1,0.4,762.0
2018-01-01 02:30:00,1006.0,7000,17.0,12.0,80,2.6,0.4,762.0
2018-01-01 03:00:00,1006.0,6000,17.0,12.0,50,2.1,0.4,762.0
2018-01-01 03:30:00,1006.0,6000,17.0,12.0,30,2.1,0.4,762.0
2018-01-01 04:00:00,1006.0,5000,18.0,13.0,50,1.5,0.4,762.0
2018-01-01 04:30:00,1006.0,5000,19.0,13.0,80,1.5,0.4,762.0
2018-01-01 05:00:00,1006.0,5000,19.0,13.0,120,1.5,0.4,762.0
2018-01-01 05:30:00,1006.0,5000,19.0,13.0,70,1.5,0.4,610.0
2018-01-01 06:00:00,1006.0,4200,19.0,13.0,110,2.6,0.4,610.0
2018-01-01 06:30:00,1006.0,4300,19.0,13.0,999,1.5,0.4,610.0
2018-01-01 07:00:00,1006.0,4200,19.0,13.0,40,1.5,0.4,610.0
2018-01-01 07:30:00,1006.0,4500,19.0,13.0,30,1.5,0.4,610.0
2018-01-01 08:00:00,1006.0,4300,19.0,13.0,30,1.5,0.4,610.0
2018-01-01 08:30:00,1006.0,4400,19.0,13.0,60,1.5,0.4,610.0
2018-01-01 09:00:00,1006.0,4200,19.0,14.0,999,1.0,0.4,610.0
2018-01-01 09:30:00,1006.0,4200,19.0,14.0,350,1.5,0.4,610.0
2018-01-01 10:00:00,1006.0,3000,19.0,14.0,350,1.5,0.4,610.0
2018-01-01 10:30:00,1006.0,3400,18.0,14.0,350,1.5,0.4,610.0
2018-01-01 11:00:00,1006.0,3000,18.0,14.0,350,1.5,0.4,610.0
2018-01-01 11:30:00,1006.0,4600,18.0,14.0,340,1.0,0.4,610.0
2018-01-01 12:00:00,914.0,4900,18.0,14.0,330,0.5,0.4,610.0
2018-01-01 12:30:00,914.0,4700,18.0,14.0,999,1.0,0.4,610.0
2018-01-01 13:00:00,914.0,5000,18.0,14.0,320,1.5,0.2,610.0
2018-01-01 13:30:00,914.0,4800,18.0,14.0,310,2.1,0.2,610.0
2018-01-01 14:00:00,914.0,4700,18.0,14.0,310,2.1,0.7,914.0
2018-01-01 14:30:00,914.0,4700,18.0,14.0,320,1.5,0.7,914.0
2018-01-01 15:00:00,914.0,4600,18.0,15.0,340,1.0,0.7,914.0
2018-01-01 15:30:00,914.0,4200,18.0,15.0,10,0.5,0.7,914.0
2018-01-01 16:00:00,914.0,4800,18.0,14.0,70,0.5,0.7,914.0
2018-01-01 16:30:00,914.0,4500,18.0,14.0,999,1.0,0.7,914.0
2018-01-01 17:00:00,914.0,4300,18.0,15.0,999,1.0,0.7,914.0
2018-01-01 17:30:00,1219.0,4400,17.0,15.0,999,1.0,0.7,1219.0
2018-01-01 18:00:00,1219.0,4000,17.0,15.0,90,1.0,0.7,1219.0
2018-01-01 18:30:00,1219.0,4100,17.0,15.0,999,1.0,0.7,1219.0
