DATE,CIG,VIS,TMP,DEW,WD,WS,CLDCR,CLDHT,pm25,RH
2018-01-01 01:00:00,1021.0,8000.0,16.0,12.0,70.0,1.5,0.7,1021.0,69.2,80.0
2018-01-01 02:00:00,975.0,7000.0,16.5,12.0,70.0,1.8,0.7,975.0,75.5,77.5
2018-01-01 03:00:00,1006.0,7000.0,17.0,12.0,80.0,2.85,0.4,762.0,90.2,75.0
2018-01-01 04:00:00,1006.0,6000.0,17.0,12.0,40.0,2.1,0.4,762.0,97.6,75.0
2018-01-01 05:00:00,1006.0,5000.0,18.5,13.0,65.0,1.5,0.4,762.0,89.1,72.5
2018-01-01 06:00:00,1006.0,5000.0,19.0,13.0,95.0,1.5,0.4,686.0,92.0,70.0
2018-01-01 07:00:00,1006.0,4250.0,19.0,13.0,554.5,2.05,0.4,610.0,92.5,70.0
2018-01-01 08:00:00,1006.0,4350.0,19.0,13.0,35.0,1.5,0.4,610.0,108.8,70.0
2018-01-01 09:00:00,1006.0,4350.0,19.0,13.0,45.0,1.5,0.4,610.0,106.0,70.0
2018-01-01 10:00:00,1006.0,4200.0,19.0,14.0,674.5,1.25,0.4,610.0,106.6,75.0
2018-01-01 11:00:00,1006.0,3200.0,18.5,14.0,350.0,1.5,0.4,610.0,98.0,77.5
2018-01-01 12:00:00,1006.0,3800.0,18.0,14.0,345.0,1.25,0.4,610.0,98.7,80.0
2018-01-01 13:00:00,914.0,4800.0,18.0,14.0,664.5,0.75,0.4,610.0,90.7,80.0
2018-01-01 14:00:00,914.0,4900.0,18.0,14.0,315.0,1.8,0.2,610.0,83.7,80.0
2018-01-01 15:00:00,914.0,4700.0,18.0,14.0,315.0,1.8,0.7,914.0,77.7,80.0
2018-01-01 16:00:00,914.0,4400.0,18.0,15.0,175.0,0.75,0.7,914.0,71.8,85.0
2018-01-01 17:00:00,914.0,4650.0,18.0,14.0,534.5,0.75,0.7,914.0,69.0,80.0
2018-01-01 18:00:00,1066.5,4350.0,17.5,15.0,999.0,1.0,0.7,1066.5,70.6,87.5
2018-01-01 19:00:00,1219.0,4050.0,17.0,15.0,544.5,1.0,0.7,1219.0,88.5,90.0
2018-01-01 20:00:00,1280.0,3750.0,17.0,15.0,85.0,1.25,0.4,792.0,103.0,90.0
2018-01-01 21:00:00,1204.0,3000.0,17.0,16.0,65.0,1.25,0.4,762.0,105.2,95.0
