DATE,WND,CIG,VIS,TMP,DEW,SLP,GA1,GF1
2018-01-01T00:00:00,"140,1,N,0010,1","01250,1,9,9","004000,1,9,9","+0157,1","+0145,1","10189,1","02,1,+00450,1,08,1","08,99,1,02,1,99,9,00450,1,99,9,99,9"
2018-01-01T03:00:00,"140,1,N,0010,1","01250,1,9,9","010000,1,9,9","+0177,1","+0133,1","10202,1","02,1,+00450,1,08,1","08,99,1,02,1,99,9,00450,1,99,9,99,9"
2018-01-01T06:00:00,"090,1,N,0010,1","01250,1,9,9","010000,1,9,9","+0196,1","+0140,1","10174,1","02,1,+00450,1,08,1","07,99,1,02,1,99,9,00450,1,99,9,99,9"
2018-01-01T09:00:00,"140,1,N,0010,1","01250,1,9,9","010000,1,9,9","+0192,1","+0143,1","10164,1","03,1,+00450,1,08,1","08,99,1,03,1,99,9,00450,1,99,9,99,9"
2018-01-01T12:00:00,"360,1,N,0000,1","01250,1,9,9","010000,1,9,9","+0187,1","+0153,1","10178,1","03,1,+00450,1,08,1","08,99,1,03,1,99,9,00450,1,99,9,99,9"
2018-01-01T15:00:00,"360,1,N,0000,1","01250,1,9,9","010000,1,9,9","+0182,1","+0161,1","10185,1","03,1,+00450,1,08,1","08,99,1,03,1,99,9,00450,1,99,9,99,9"
2018-01-01T18:00:00,"360,1,N,0000,1","01250,1,9,9","010000,1,9,9","+0177,1","+0159,1","10181,1","03,1,+00450,1,08,1","08,99,1,03,1,99,9,00450,1,99,9,99,9"
2018-01-01T21:00:00,"360,1,N,0000,1","01250,1,C,9","010000,1,9,9","+0180,1","+0153,1","10163,1","05,1,+00450,1,08,1","08,99,1,05,1,99,9,00450,1,99,9,99,9"
2018-01-02T00:00:00,"999,9,C,9999,9","99999,9,9,N","010000,1,9,9","+0178,1","+0161,1","10169,1","03,1,+00450,1,08,1","08,99,1,03,1,99,9,00450,1,99,9,99,9"
2018-01-02T03:00:00,"360,1,N,0000,1","02750,1,C,9","004000,1,9,9","+0186,1","+0155,1","10183,1","06,1,+00450,1,07,1","08,99,1,06,1,99,9,00450,1,99,9,99,9"
